						
"파이브엠

프 리 덤"						"Copyright 2025, 무장"
광 고 예정						
광 고 예정						
		가 해 자		피 해 자		
날 짜	고유번호	닉네임	고유번호	닉네임	금 액	사 유
2025년 10월 25일	12847번	이동술	37853	결백	10000000000	주사위 패배 후 종료
2025년 10월 25일	12847번	경상도짝귀	30563	핫커리	10000000000	주사위 패배 후 종료
2025년 10월 25일	20119번	파리	54093	키키	50000000000	주사위 패배 후 종료
2025년 10월 24일	50622번	우잉	54093	키키	60000000000	주사위 패배 후 종료
2025년 10월 24일	1874번	맛도리	54790	으앵	100000000000 	주사위 패배 후 1000원 입금
2025년 10월 19일	21번	앵지	34201	조선제일검	"에테리온, 데빌바이크, 빗자루의자, 130000000000"	중계사기 및 주사위 패배 후 도주
2025년 10월 19일	56171번	용용	34201	조선제일검	"에테리온, 데빌바이크, 빗자루의자, 130000000000"	중계사기 및 주사위 패배 후 도주
2025년 10월 19일	2415번	마마마	1828	도라희	10000000000	주사위 패배 후 종료
2025년 10월 18일	23030번	하하하	54661	꽁백	5000000000	주사위 패배 후 도주
2025년 10월 16일	84번	말보루	1900	민들레	800000000000 	주사위 패배 후 도주
2025년 10월 10일	56483번	포이즌	55918	덕철	10000000000	주사위 패배 후 도주
2025년 10월 10일	46576번	도윤시바	42933	지재	50000000000	주사위 패배 후 도주
2025년 10월 10일	37853번	원장님	57197	흑우	30000000000	주사위 패배 후 종료
2025년 10월 9일	57536번	재윤스	404	요시	20000000000	주사위 패배 후 도주
2025년 10월 9일	56517번	김치마쉬써요복자	404	요시	50000000000	주사위 패배 후 종료
2025년 10월 9일	3292번	미니	108	이설	500000000000 	재산이 없는 상태 주사위 시도
2025년 10월 6일	53959번	유람선	152	금화	20000000000	주사위 패배 후 종료
2025년 10월 5일	50499번	폭주	42933	지재	50000000000	주사위 패배 후 종료
2025년 10월 5일	280번	어둠속의빛	42933	지재	20000000000	주사위 패배 후 종료
2025년 10월 3일	56118번	예미링	3292	미니	5000000000	주사위 패배 후 종료
2025년 10월 3일	41번	링	1010	승구	200000000000 	주사위 패배 후 종료
2025년 10월 3일	39271번	농심신라면	18513	선	170000000000 	주사위 패배 후 도주
2025년 10월 3일	280번	초코	56774	김준마	300000000000 	주사위 패배 후 종료
2025년 10월 3일	10186번	홍박사	1010	승구	200000000000 	주사위 패배 후 종료
2025년 10월 3일	10186번	군대가체질	18513	선	50000000000	주사위 패배 후 종료
2025년 10월 1일	36160번	병창	18513	선	맘모스	주사위 패배 후 종료
2025년 9월 30일	57294번	후룹	152	금화	100000000000 	주사위 패배 후 종료
2025년 9월 30일	25522번	서준일껄요	18513	선	50000000000	주사위 패배 후 종료
